t	ay
0	-0.0705
0.002563	-0.0562
0.016349	-0.0516
0.027236	0.0294
0.035182	0.0626
0.051137	0.0813
0.051239	0.0761
0.066277	0.0609
0.074788	0.0318
0.082098	0.0219
0.098243	0.04
0.106778	0.0778
0.115314	0.0725
0.122925	0.0719
0.131655	0.0714
0.149048	0.0227
0.155094	-0.0303
0.167376	-0.0592
0.170725	-0.0691
0.185474	-0.0837
0.200891	-0.0556
0.20314	0.0015
0.218009	0.0538
0.235435	0.1634
0.235532	0.1489
0.242477	0.0913
0.251231	0.0337
0.267737	-0.096
0.275205	-0.1201
0.283681	-0.0867
0.290954	-0.039
0.300515	0.0182
0.31605	0.0897
0.32264	0.0752
0.334306	0.0561
0.351617	-0.0248
0.355297	-0.0434
0.368329	-0.0475
0.371256	-0.0514
0.381245	-0.0409
0.398583	-0.0964
0.402713	-0.1342
0.417521	-0.2304
0.427135	-0.3565
0.43546	-0.3241
0.45308	-0.2246
0.453182	-0.1154
0.469024	0.0026
0.475333	-0.0129
0.484682	-0.0383
0.490567	-0.1025
0.506572	-0.3078
0.518271	-0.4728
0.523345	-0.6285
0.531501	-0.8182
0.551319	-11.752
0.555412	-13.521
0.565224	-16.202
0.570914	-18.551
0.594659	-20.905
0.59475	-2.317
0.603407	-26.265
0.628451	-28.051
0.628524	-29.119
0.636744	-28.188
0.642508	-27.626
0.660142	-27.351
0.668506	-28.994
0.675061	-29.953
0.69091	-31.289
0.691	-34.152
0.703245	-3.869
0.726093	-52.836
0.726186	-59.334
0.743052	-63.053
0.743203	-63.272
0.754884	-49.271
0.779044	-36.295
0.77913	-25.418
0.78952	-0.3355
0.809153	0.1988
0.809233	0.2741
0.818503	-0.9133
0.827061	-16.008
0.848091	-2.186
0.848204	-23.007
0.851285	-18.831
0.879311	-0.6911
0.879416	-0.2327
0.892319	0.37
0.892434	0.9298
0.907626	14.939
0.928428	14.456
0.928659	0.6274
0.938495	-0.1763
0.960074	-0.6168
0.960177	-0.0916
0.97022	0.6014
0.996193	25.685
1.026593	53.219
1.043452	43.072
1.05486	48.934
1.058124	51.647
1.073309	50.355
1.083	49.633
1.090961	51.003
1.099312	55.205
1.106765	61.852
1.116697	73.825
1.134076	99.081
1.138912	105.682
1.14976	107.173
1.167306	99.145
1.171349	95.383
1.185252	94.438
1.186901	95.732
1.201967	97.776
1.210435	105.207
1.218605	109.491
1.226556	111.985
1.243168	110.656
1.251377	110.858
1.259258	114.151
1.267034	119.009
1.286659	126.935
1.29068	127.267
1.300677	123.557
1.307075	116.708
1.319859	108.115
1.337156	86.336
1.33921	75.245
1.352938	65.585
1.368902	44.364
1.370763	33.319
1.385362	21.519
1.386834	0.81
1.401846	-0.9287
1.418093	-57.333
1.419391	-87.413
1.427563	-11.211
1.443114	-15.959
1.450949	-176.048
1.458959	-181.622
1.467668	-176.847
1.483832	-149.552
1.491554	-131.501
1.49977	-114.463
1.506997	-94.702
1.519408	-78.817
1.533218	-6.115
1.539145	-63.536
1.551774	-70.418
1.568294	-92.691
1.571288	-103.728
1.592156	-114.047
1.592198	-120.298
1.608457	-12.282
1.608551	-121.135
1.628909	-110.691
1.628994	-105.093
1.643367	-97.788
1.66308	-95.982
1.663177	-96.092
1.674236	-97.972
1.683785	-103.164
1.69059	-105.761
1.711918	-108.839
1.712062	-110.338
1.719338	-110.737
1.733219	-107.754
1.739295	-104.658
1.763139	-101.942
1.763236	-98.455
1.770225	-95.053
1.800139	-95.809
1.811766	-103.988
1.826779	-115.774
1.848683	-11.649
1.848789	-71.548
1.850191	-22.231
1.882692	139.679
1.895623	562.632
1.906896	443.741
1.922844	333.941
1.922968	200.562
1.937685	167.623
1.965021	147.436
1.995782	144.371
2.010534	-0.886
2.028376	-37.251
2.028476	-59.871
2.042961	-100.117
2.057188	-115.024
2.071389	-126.666
2.071477	-133.086
2.083857	-130.883
2.09005	-12.145
2.10676	-111.491
2.106822	-97.271
2.123297	-81.902
2.13315	-47.186
2.138793	-34.352
2.162169	-25.731
2.162248	-23.383
2.172959	-26.925
2.178464	-26.589
2.186457	-20.074
2.203564	24.905
2.211425	66.245
2.219089	12.923
2.226673	170.276
2.236259	150.348
2.251615	35.274
2.258602	-0.2001
2.268051	-30.738
2.286717	-68.463
2.291238	-74.014
2.302891	-67.069
2.306617	-50.932
2.320741	-34.268
2.33675	-0.0987
2.338967	10.889
2.350568	18.456
2.369239	2.665
2.371078	25.794
2.384889	20.535
2.386652	14.369
2.40408	0.2758
2.411042	-0.0582
2.419359	-0.2247
2.4268	-0.3433
2.436951	-0.4188
2.451997	-0.3831
2.459375	-0.3341
2.468625	-0.357
2.484858	-0.3406
2.490505	-0.3013
2.503005	-0.2426
2.506527	-0.1599
2.518329	-0.0388
2.538269	0.2756
2.539027	0.4976
2.551546	0.6671
2.567793	0.643
2.570545	0.4063
2.578519	0.0597
2.594072	-0.3061
2.603435	-0.6507
2.61079	-0.7312
2.619153	-0.7542
2.626512	-0.7581
2.637038	-0.6997
2.661158	-0.3776
2.661229	-0.2291
2.67625	-0.1146
2.676408	0.0381
2.693512	0.138
2.709016	0.1608
2.709094	0.1319
2.730267	0.0648
2.730333	-0.0405
2.738521	-0.2656
2.763219	-0.2658
2.763318	-0.2135
2.77095	-0.0514
2.784579	0.0056
2.78671	0.0626
2.811875	0.1338
2.812064	0.1527
2.822488	0.1477
2.826455	0.1716
2.848188	0.1813
2.848285	0.1863
2.858617	0.1312
2.880247	0.1038
2.880408	0.086
2.89012	0.0645
2.915609	0.0751
2.915767	0.1337
2.915852	0.2162
2.927993	0.2319
2.943526	0.2381
2.954941	0.1359
2.962953	-0.0762
2.976726	-0.1128
2.978531	-0.1588
2.99621	-0.1665
2.996281	-0.1552
3.011273	-0.0944
3.019234	-0.0208
3.026304	0.0624
3.047713	0.0451
3.047829	0.0038
3.061604	0.0458
3.075971	0.0525
3.07604	0.0065
3.095039	-0.0874
3.098647	-0.122
3.1078	-0.1442
3.124627	-0.1234
3.13959	-0.1394
3.139722	-0.1093
